date,ebp
8/1/2013,-0.121060792
9/1/2013,-0.130414732
10/1/2013,-0.04238867
11/1/2013,-0.005208869
12/1/2013,-0.158056755
1/1/2014,-0.304823256
2/1/2014,-0.213441305
3/1/2014,-0.27911317
4/1/2014,-0.359703493
5/1/2014,-0.374426725
6/1/2014,-0.312607073
7/1/2014,-0.320156975
8/1/2014,-0.313087857
9/1/2014,-0.213497251
10/1/2014,-0.210005287
11/1/2014,0.060199395
12/1/2014,0.088936421
1/1/2015,-0.028306068
2/1/2015,-0.274777143
3/1/2015,-0.120775298
4/1/2015,0.004775017
5/1/2015,0.049173259
6/1/2015,0.145074789
7/1/2015,0.210166205
8/1/2015,0.395080758
9/1/2015,0.532742741
10/1/2015,0.417903095
11/1/2015,0.503700775
12/1/2015,0.676553042
1/1/2016,0.914533642
2/1/2016,0.943839924
3/1/2016,0.574359574
4/1/2016,0.232468815
5/1/2016,0.243803729
6/1/2016,0.065386271
7/1/2016,0.010218883
8/1/2016,-0.024095515
9/1/2016,-0.073127399
10/1/2016,-0.078095699
11/1/2016,-0.71260965
12/1/2016,-0.244322119
1/1/2017,-0.198774943
2/1/2017,-0.184177026
3/1/2017,-0.171342207
4/1/2017,-0.123367033
5/1/2017,-0.16984762
6/1/2017,-0.129128185
7/1/2017,-0.155035155
8/1/2017,-0.084123561
9/1/2017,-0.256742755
10/1/2017,-0.217402687
11/1/2017,-0.133759634
12/1/2017,-0.194716166
1/1/2018,-0.392813548
2/1/2018,-0.245355931
3/1/2018,-0.105110541
4/1/2018,-0.278291174
5/1/2018,-0.191895431
6/1/2018,0.025069555
7/1/2018,-0.126025546
8/1/2018,-0.096229672
9/1/2018,-0.175613804
10/1/2018,-0.003684252
11/1/2018,0.142435945
12/1/2018,0.338213084
1/1/2019,0.173479863
2/1/2019,0.062121733
3/1/2019,-0.118584751
4/1/2019,-0.00928697
5/1/2019,-0.01698146
6/1/2019,0.003582144
7/1/2019,-0.050331029
8/1/2019,-0.1541735
9/1/2019,-0.23029142
10/1/2019,-0.225256797
11/1/2019,-0.172339314
12/1/2019,-0.285800019
1/1/2020,-0.24082207
2/1/2020,-0.146398895
3/1/2020,1.209034186
4/1/2020,0.646515371
5/1/2020,0.391543578
6/1/2020,0.044518535
7/1/2020,-0.171228551
8/1/2020,-0.294794649
9/1/2020,-0.016816821
10/1/2020,-0.220746179
11/1/2020,-0.477331061
12/1/2020,-0.51451103
1/1/2021,-0.663951923
2/1/2021,-0.942894593
3/1/2021,-0.749898193
4/1/2021,-0.49421776
5/1/2021,-0.431953747
6/1/2021,-0.58916792
7/1/2021,-0.557093268
8/1/2021,-0.48275059
9/1/2021,-0.644032195
10/1/2021,-0.524221614
11/1/2021,-0.444412355
12/1/2021,-0.443656274
1/1/2022,-0.344606116
2/1/2022,-0.208041405
3/1/2022,-0.801236046
4/1/2022,-0.29043545
5/1/2022,-0.117077777
6/1/2022,0.082956386
7/1/2022,0.004408573
8/1/2022,-0.030892425
9/1/2022,0.037186546
10/1/2022,0.095470347
11/1/2022,-0.221747255
12/1/2022,-0.015399978
1/1/2023,-0.035771669
2/1/2023,-0.148039779
3/1/2023,-0.185021737
4/1/2023,0.182019915
5/1/2023,0.135261171
6/1/2023,0.174525857
7/1/2023,0.017120803
8/1/2023,0.071012299
9/1/2023,-0.008604046
10/1/2023,0.223609263
11/1/2023,-0.083679607
12/1/2023,-0.2296647
1/1/2024,-0.076469192
2/1/2024,-0.134175506
3/1/2024,-0.095054524
4/1/2024,-0.202548493
5/1/2024,-0.136385401
6/1/2024,-0.031106337
7/1/2024,-0.096607925
8/1/2024,-0.048136821
9/1/2024,-0.105858366
10/1/2024,-0.35832538
11/1/2024,-0.229093743
12/1/2024,-0.455962471
1/1/2025,-0.305382706
2/1/2025,-0.261714336
3/1/2025,-0.046744067
4/1/2025,-0.09185183
5/1/2025,-0.206265583
6/1/2025,-0.231430689
7/1/2025,-0.250524078
8/1/2025,-0.200921103
