Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
09/02/2016,-0.349341136722674,-0.216653812070237,-0.457951258351921,0.145392995916817,0.0370697325844307,-0.63326926223366
09/09/2016,-0.343430857078898,-0.207513838257077,-0.454340446313229,0.151925433336384,0.00752856646738357,-0.633058447607774
09/16/2016,-0.339008799171642,-0.203415632317744,-0.452639101819526,0.157913848251601,-0.0263950142962217,-0.632828747644251
09/23/2016,-0.337747798664138,-0.20527671013502,-0.453760833360791,0.162097395239611,-0.0655129817043153,-0.632548711800665
09/30/2016,-0.340890208495976,-0.213918105529182,-0.458414214825336,0.163835603869115,-0.111122356527802,-0.632182407746412
10/07/2016,-0.348047252077347,-0.228262471788136,-0.464630769858608,0.16160537200276,-0.163714942981829,-0.631690727510919
10/14/2016,-0.357147821325379,-0.244020556157147,-0.471121094132012,0.156238383411417,-0.223734079363834,-0.631028228304385
10/21/2016,-0.368377217549806,-0.263136315506929,-0.478326918768706,0.14831506151537,-0.290721545076217,-0.630156041814749
10/28/2016,-0.381375786110771,-0.286777605466256,-0.484603491543205,0.137428682241415,-0.363614831844806,-0.629036227626611
11/04/2016,-0.393424622798204,-0.311263886239212,-0.489236801636639,0.125376098044912,-0.439895683712221,-0.627636075786501
11/11/2016,-0.407432001855073,-0.338346072725469,-0.493548047413096,0.111818089300084,-0.517492264347789,-0.625930869246098
11/18/2016,-0.420252006986067,-0.362305697085726,-0.496385859788218,0.0980307797435349,-0.59237272444054,-0.623904743400046
11/25/2016,-0.431530944121527,-0.38029154250547,-0.498384926457371,0.0846497411408234,-0.66086166215062,-0.621551450349626
12/02/2016,-0.441427845929087,-0.391309397462488,-0.499861604534601,0.0719461480535066,-0.720354110720461,-0.618875735151743
12/09/2016,-0.450298549219723,-0.39529656494803,-0.501331388528326,0.0599263482328423,-0.768544068510066,-0.61589299030696
12/16/2016,-0.457220007953965,-0.393628599486903,-0.502657045059607,0.0487449467329941,-0.803493613453516,-0.612629698018033
12/23/2016,-0.463020491411352,-0.38925666108796,-0.504393533088985,0.0385944892698186,-0.825497680286738,-0.609123443282258
12/30/2016,-0.469397439780279,-0.385484716267691,-0.506714240893357,0.0282986695552346,-0.834928889225247,-0.605420375328228
01/06/2017,-0.475053791338379,-0.380453581593321,-0.509041348843123,0.0186481112227059,-0.833013579043951,-0.601569834829787
01/13/2017,-0.480807211137662,-0.376891630287295,-0.511591957172807,0.00936922194938858,-0.821359636079284,-0.59763382879743
01/20/2017,-0.485586620550604,-0.374071546438944,-0.513677713319132,0.00102410839649421,-0.801691513921763,-0.593665381442274
01/27/2017,-0.489217093421791,-0.372017467122867,-0.514771512276367,-0.00624261726998887,-0.776048250800149,-0.589716145838853
02/03/2017,-0.491564378717228,-0.371712398722878,-0.515767703473948,-0.0114429916474265,-0.746012626676464,-0.585832819354108
02/10/2017,-0.492830545082958,-0.375109193917349,-0.516514244101396,-0.0146694937105094,-0.713148920130107,-0.582055338116107
02/17/2017,-0.492234106560162,-0.379237845169733,-0.517380405193565,-0.0151070065551629,-0.678547118692713,-0.578416823175103
02/24/2017,-0.49008478193229,-0.382654472367096,-0.518382871687741,-0.0130205903528003,-0.643437962151654,-0.57494471444667
03/03/2017,-0.488173426265841,-0.387041492328593,-0.520240222221919,-0.00967945995652936,-0.608443800085746,-0.571661097789518
